SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-27-2018,Single Family Residential,17003 16th Dr SE,Bothell,WA,98012,610000,3,2.5,Mill Creek,2455,3485,2009,60,248,42,Sold,,,http://www.redfin.com/WA/Mill-Creek/17003-16th-Dr-SE-98012/home/17971231,NWMLS,1369133,N,Y,47.8439224,-122.2102308
PAST SALE,October-17-2018,Single Family Residential,23832 Carter Road,Bothell,WA,98021,449950,2,1.75,Alderwood Manor,1440,22216,1974,101,312,,Sold,,,http://www.redfin.com/WA/Bothell/23832-Carter-Rd-98021/home/2655015,NWMLS,1356491,N,Y,47.7816585,-122.2516729
PAST SALE,December-4-2018,Single Family Residential,607 194th Place SE,Bothell,WA,98012,645000,4,2.5,Canyon Park,2382,3920,2010,53,271,,Sold,,,http://www.redfin.com/WA/Bothell/607-194th-Pl-SE-98012/home/39951426,NWMLS,1381149,N,Y,47.8221466,-122.223641
PAST SALE,October-22-2018,Townhouse,221 164th Place SE,Bothell,WA,98012,378000,2,2.25,Mill Creek,1349,1742,2009,96,280,153,Sold,,,http://www.redfin.com/WA/Bothell/221-164th-Pl-SE-98012/home/39951827,NWMLS,1332104,N,Y,47.849017,-122.228977
PAST SALE,August-30-2018,Condo/Co-op,9624 NE 183rd St #36,Bothell,WA,98011,849850,4,3.25,Downtown Bothell,2048,,2017,149,415,137,Sold,,,http://www.redfin.com/WA/Bothell/9624-NE-183rd-St-98011/unit-36/home/144340686,NWMLS,1220250,N,Y,47.7608494,-122.2079146
PAST SALE,August-20-2018,Single Family Residential,9710 NE 198th St,Bothell,WA,98011,705000,3,2.0,Maywood Hills,2150,10800,1962,159,328,,Sold,,,http://www.redfin.com/WA/Bothell/9710-NE-198th-St-98011/home/285280,NWMLS,1317828,N,Y,47.7723209,-122.210714
PAST SALE,January-25-2019,Single Family Residential,19812 11th Dr SE Unit ARV24,Bothell,WA,98012,730000,5,2.75,Thrashers Corner,2474,4000,2018,1,295,81,Sold,,,http://www.redfin.com/WA/Bothell/19812-11th-Dr-SE-98012/unit-ARV24/home/147127095,NWMLS,1364058,N,Y,47.8137925,-122.2165806
PAST SALE,January-23-2019,Townhouse,23908 34th Ave SE,Bothell,WA,98021,450000,2,2.5,North Creek,1326,278784,2004,3,339,75,Sold,,,http://www.redfin.com/WA/Bothell/23908-34th-Ave-SE-98021/unit-24/home/2909461,NWMLS,1389308,N,Y,47.7813602,-122.1876204
PAST SALE,July-31-2018,Single Family Residential,19417 7th Ave SE,Bothell,WA,98012,675000,4,2.5,Canyon Park,2605,5227,2011,179,259,21,Sold,,,http://www.redfin.com/WA/Bothell/19417-7th-Ave-SE-98012/home/35654580,NWMLS,1309495,N,Y,47.8226527,-122.2217532
PAST SALE,January-22-2019,Townhouse,933 223rd St SE Unit 16-S,Bothell,WA,98021,674950,4,3.25,Canyon Park,2301,4240,2018,4,293,91,Sold,,,http://www.redfin.com/WA/Bothell/933-223rd-Pl-SE-98021/unit-16-S/home/146122663,NWMLS,1302906,N,Y,47.7952612,-122.2236456
PAST SALE,January-18-2019,Mobile/Manufactured Home,3333 228th St SE #18,Bothell,WA,98021,60000,3,2.0,Canyon Park,1614,,1991,8,37,,Sold,,,http://www.redfin.com/WA/Bothell/3333-228th-St-SE-98021/unit-18/home/2871764,NWMLS,1393383,N,Y,47.7930754,-122.1896993
PAST SALE,October-17-2018,Single Family Residential,1214 198th Place SE Unit ARV65,Bothell,WA,98012,818945,5,3.25,Thrashers Corner,2682,5048,2018,101,305,81,Sold,,,http://www.redfin.com/WA/Bothell/1214-198th-Pl-SE-98012/unit-ARV65/home/146092708,NWMLS,1314943,N,Y,47.8182943,-122.215566
PAST SALE,September-12-2018,Single Family Residential,16925 1st Ave W,Bothell,WA,98012,690000,3,2.5,Martha Lake,2135,3920,2016,136,323,85,Sold,,,http://www.redfin.com/WA/Bothell/16925-1st-Ave-W-98012/home/112744681,NWMLS,1338295,N,Y,47.8446099,-122.2340633
PAST SALE,December-21-2018,Mobile/Manufactured Home,22623 31st Ave SE #7,Bothell,WA,98021,79950,2,1.0,Canyon Park,918,1155669,2007,36,87,,Sold,,,http://www.redfin.com/WA/Bothell/22623-31st-Ave-SE-98021/unit-7/home/21501794,NWMLS,1389431,N,Y,47.7921155,-122.1913845
PAST SALE,December-21-2018,Single Family Residential,4410 235th Place SE #254,Bothell,WA,98021,889950,4,2.5,Canyon Park,2501,3400,2018,36,356,71,Sold,,,http://www.redfin.com/WA/Bothell/4410-235th-Pl-SE-98021/unit-254/home/145868039,NWMLS,1300424,N,Y,47.7853791,-122.2029648
PAST SALE,November-30-2018,Single Family Residential,21638 35th Ave SE #21,Bothell,WA,98021,1140275,4,3.5,Canyon Park,3777,11282,2018,57,302,90,Sold,,,http://www.redfin.com/WA/Bothell/21638-35th-Ave-SE-98021/unit-21/home/144779671,NWMLS,1238631,N,Y,47.8008908,-122.1870632
PAST SALE,December-20-2018,Townhouse,22262 9th Dr SE Unit 07-S,Bothell,WA,98021,860050,5,2.75,Canyon Park,3044,,2018,37,283,91,Sold,,,http://www.redfin.com/WA/Bothell/22262-9th-Dr-SE-98021/unit-07-S/home/146414958,NWMLS,1334231,N,Y,47.7934152,-122.2199155
PAST SALE,December-18-2018,Single Family Residential,3327 208th Place SE,Bothell,WA,98021,615500,4,2.75,Canyon Firs,2031,7405,1989,39,303,2,Sold,,,http://www.redfin.com/WA/Bothell/3327-208th-Pl-SE-98021/home/2812467,NWMLS,1366336,N,Y,47.8090037,-122.1877495
PAST SALE,January-15-2019,Single Family Residential,20308 3rd Dr SE,Bothell,WA,98012,565000,4,2.5,Thrashers Corner,1983,6343,2011,11,285,55,Sold,,,http://www.redfin.com/WA/Bothell/20308-3rd-Dr-SE-98012/home/40022172,NWMLS,1382566,N,Y,47.81358,-122.2272
PAST SALE,November-14-2018,Single Family Residential,1205 198th Place SE Unit ARV 9,Bothell,WA,98012,649995,3,2.5,Thrashers Corner,1911,3882,2018,73,340,81,Sold,,,http://www.redfin.com/WA/Bothell/1205-198th-Pl-SE-98012/unit-ARV-9/home/147562845,NWMLS,1310081,N,Y,47.8178936,-122.2206202
PAST SALE,December-11-2018,Single Family Residential,12925 NE 201st St,Woodinville,WA,98072,899950,0,,Bothell,2916,6026,2018,46,309,,Sold,,,http://www.redfin.com/WA/Woodinville/12925-NE-201st-St-98072/home/148451105,NWMLS,1393507,N,Y,47.7734377,-122.169155
PAST SALE,December-5-2018,Townhouse,15600 116th Ave NE Unit L1,Bothell,WA,98011,325000,2,1.5,Bothell,1036,1,1986,52,314,411,Sold,,,http://www.redfin.com/WA/Bothell/15600-116th-Ave-NE-98011/unit-L1/home/25375,NWMLS,1349650,N,Y,47.7414334,-122.1861936
PAST SALE,October-30-2018,Single Family Residential,9628 NE 200th St,Bothell,WA,98011,500000,3,1.75,Bothell,1950,13264,1969,88,256,,Sold,,,http://www.redfin.com/WA/Bothell/9628-NE-200th-St-98011/home/285579,NWMLS,1371126,N,Y,47.7737075,-122.2113555
PAST SALE,December-19-2018,Single Family Residential,15003 108th Place NE,Bothell,WA,98011,670000,5,2.75,Norway Hill,2110,6750,1969,38,318,,Sold,,,http://www.redfin.com/WA/Bothell/15003-108th-Pl-NE-98011/home/457721,NWMLS,1366564,N,Y,47.7367192,-122.1967616
PAST SALE,December-19-2018,Townhouse,23908 Bothell Everett Hwy Unit C1,Bothell,WA,98021,381000,2,2.5,Canyon Park,1252,137488,1996,38,304,392,Sold,,,http://www.redfin.com/WA/Bothell/23908-Bothell-Everett-Hwy-98021/unit-C1/home/2853180,NWMLS,1389063,N,Y,47.7809614,-122.2217157
PAST SALE,December-27-2018,Single Family Residential,10210 NE 189th St,Bothell,WA,98011,450000,3,1.5,Downtown Bothell,2430,7194,1900,30,185,,Sold,,,http://www.redfin.com/WA/Bothell/10210-NE-189th-St-98011/home/287312,NWMLS,1367573,N,Y,47.7649096,-122.2035613
PAST SALE,December-27-2018,Condo/Co-op,10342 NE 187th St #2,Bothell,WA,98011,698000,4,2.75,Downtown Bothell,1796,14455,2018,30,389,210,Sold,,,http://www.redfin.com/WA/Bothell/10342-NE-187th-St-98011/unit-2/home/148153460,NWMLS,1387604,N,Y,47.7640756,-122.2018441
PAST SALE,November-29-2018,Single Family Residential,718 222nd St SW,Bothell,WA,98021,538000,4,2.25,Canyon Park,2140,31799,1974,58,251,,Sold,,,http://www.redfin.com/WA/Bothell/718-222nd-St-SW-98021/home/2771130,NWMLS,1346239,N,Y,47.7964749,-122.243318
PAST SALE,December-18-2018,Single Family Residential,21329 2nd Dr SE,Bothell,WA,98021,525000,3,2.25,Canyon Park,1600,8712,1976,39,328,,Sold,,,http://www.redfin.com/WA/Bothell/21329-2nd-Dr-SE-98021/home/2773640,NWMLS,1339436,N,Y,47.8039977,-122.2282392
PAST SALE,December-11-2018,Single Family Residential,17810 38th Dr SE #6,Bothell,WA,98012,643000,3,2.5,Bothell,2085,3200,2016,46,308,65,Sold,,,http://www.redfin.com/WA/Bothell/17810-38th-Dr-SE-98012/unit-6/home/102539696,NWMLS,1384765,N,Y,47.836059,-122.180888
PAST SALE,August-24-2018,Vacant Land,4720 208th St SE,Bothell,WA,98021,300000,0,,Canyon Park,,46609,,155,,,Sold,,,http://www.redfin.com/WA/Bothell/4720-208th-St-SE-98021/home/2566210,NWMLS,1319084,N,Y,47.808424,-122.1691401
PAST SALE,December-11-2018,Single Family Residential,16603 42nd Ave SE,Bothell,WA,98012,520000,3,2.25,Bothell,1520,6534,2009,46,342,35,Sold,,,http://www.redfin.com/WA/Bothell/16603-42nd-Ave-SE-98012/home/28640702,NWMLS,1381554,N,Y,47.8469355,-122.1763332
PAST SALE,August-16-2018,Single Family Residential,18725 45th Park SE,Bothell,WA,98012,784846,5,2.75,North Creek,2186,3100,2017,163,359,85,Sold,,,http://www.redfin.com/WA/Bothell/18725-45th-Ave-SE-98012/home/143185776,NWMLS,1176305,N,Y,47.828913,-122.172253
PAST SALE,December-11-2018,Single Family Residential,17118 39th Dr SE,Bothell,WA,98012,1016000,4,4.75,North Creek,3896,6082,2018,46,261,,Sold,,,http://www.redfin.com/WA/Bothell/17118-39th-Dr-SE-98012/home/147429302,NWMLS,1371734,N,Y,47.842245,-122.1798255
PAST SALE,December-19-2018,Single Family Residential,4427 147th Place SE,Bothell,WA,98012,612500,3,2.5,Seattle Hill,2631,4356,2004,38,233,33,Sold,,,http://www.redfin.com/WA/Bothell/4427-147th-Pl-SE-98012/home/2908569,NWMLS,1363049,N,Y,47.864224,-122.1721644
PAST SALE,December-24-2018,Mobile/Manufactured Home,20524 32nd Dr SE,Bothell,WA,98012,299950,3,2.0,Thrashers Corner,1538,8276,2004,33,195,170,Sold,,,http://www.redfin.com/WA/Bothell/20524-32nd-Dr-SE-98012/home/2660856,NWMLS,1387885,N,Y,47.8111076,-122.1896679
PAST SALE,December-26-2018,Single Family Residential,4404 181st St SE,Bothell,WA,98012,680000,4,2.5,North Creek,2353,4116,2017,31,289,49,Sold,,,http://www.redfin.com/WA/Bothell/4404-181st-St-SE-98012/home/112939919,NWMLS,1357521,N,Y,47.8336327,-122.1735235
PAST SALE,December-3-2018,Townhouse,14915 38th Dr SE Unit O1133,Bothell,WA,98012,359000,3,1.75,Mill Creek,1371,,2006,54,262,292,Sold,,,http://www.redfin.com/WA/Bothell/14915-38th-Dr-SE-98012/unit-O1133/home/12333966,NWMLS,1348936,N,Y,47.8622748,-122.1798117
PAST SALE,July-31-2018,Single Family Residential,15101 91st Place NE,Bothell,WA,98011,910000,4,2.75,Amber Ridge,2760,9014,1989,179,330,20,Sold,,,http://www.redfin.com/WA/Bothell/15101-91st-Pl-NE-98011/home/285195,NWMLS,1312785,N,Y,47.7371867,-122.2196138
PAST SALE,August-1-2018,Condo/Co-op,10826 NE 148th Lane Unit H102,Bothell,WA,98011,365000,3,2.0,Juanita,1084,374551,1982,178,337,432,Sold,,,http://www.redfin.com/WA/Bothell/10826-NE-148th-Ln-98011/unit-H102/home/17069044,NWMLS,1317101,N,Y,47.73511951973375,-122.19517216413504
PAST SALE,July-31-2018,Condo/Co-op,15300 112th Ave NE Unit B201,Bothell,WA,98011,295000,1,1.0,Bothell,749,,1999,179,394,258,Sold,,,http://www.redfin.com/WA/Bothell/15300-112th-Ave-NE-98011/unit-B201/home/22685300,NWMLS,1300560,N,Y,47.7394231,-122.1907686
PAST SALE,July-31-2018,Single Family Residential,16605 122nd Place NE,Bothell,WA,98011,1700000,11,7.5,Cherry Hill,4970,24705,1939,179,342,,Sold,,,http://www.redfin.com/WA/Bothell/16605-122nd-Pl-NE-98011/home/113608475,NWMLS,1090353,N,Y,47.7487838,-122.1769632
PAST SALE,November-30-2018,Single Family Residential,922 183rd Place SE,Mill Creek,WA,98012,535000,3,2.5,Bothell,1977,3485,2001,57,271,42,Sold,,,http://www.redfin.com/WA/Mill-Creek/922-183rd-Pl-SE-98012/home/2889688,NWMLS,1373430,N,Y,47.8314898,-122.2183672
PAST SALE,December-20-2018,Single Family Residential,18606 46th Ave SE,Bothell,WA,98012,785474,4,3.5,North Creek,2600,3339,2018,37,302,88,Sold,,,http://www.redfin.com/WA/Bothell/18606-46th-Ave-SE-98012/home/143417846,NWMLS,1304780,N,Y,47.8289,-122.1723
PAST SALE,December-20-2018,Single Family Residential,18913 4th Ave SE,Bothell,WA,98012,504000,5,3.0,Bothell,2016,3485,2005,37,250,,Sold,,,http://www.redfin.com/WA/Bothell/18913-4th-Ave-SE-98012/home/2914729,NWMLS,1377965,N,Y,47.8261281,-122.2277925
PAST SALE,December-20-2018,Mobile/Manufactured Home,17033 Woodcrest Dr NE,Bothell,WA,98011,265000,2,1.75,Bothell,1089,3697,1986,37,243,,Sold,,,http://www.redfin.com/WA/Bothell/17033-Woodcrest-Dr-NE-98011/home/25714547,NWMLS,1382831,N,Y,47.7514092,-122.1812145
PAST SALE,December-3-2018,Single Family Residential,10735 NE 187th St,Bothell,WA,98011,725000,3,2.5,Bothell,1990,9600,2000,54,364,,Sold,,,http://www.redfin.com/WA/Bothell/10735-NE-187th-St-98011/home/285844,NWMLS,1361286,N,Y,47.7636578,-122.1970224
PAST SALE,October-2-2018,Single Family Residential,16813 119th Place NE,Bothell,WA,98011,775000,3,2.5,Bothell,2710,5781,1989,116,286,13,Sold,,,http://www.redfin.com/WA/Bothell/16813-119th-Pl-NE-98011/home/452673,NWMLS,1350382,N,Y,47.7499525,-122.1818949
PAST SALE,October-12-2018,Single Family Residential,12903 NE 201st Wy,Woodinville,WA,98072,708000,3,2.5,Woodinville,2362,4161,2003,106,300,27,Sold,,,http://www.redfin.com/WA/Woodinville/12903-NE-201st-Way-98072/home/287418,NWMLS,1336818,N,Y,47.7727624,-122.1691782
PAST SALE,August-24-2018,Mobile/Manufactured Home,17225 Woodcrest Dr NE,Bothell,WA,98011,330000,2,2.0,Bothell,1539,7157,1987,155,214,130,Sold,,,http://www.redfin.com/WA/Bothell/17225-Woodcrest-Dr-NE-98011/home/12352593,NWMLS,1306333,N,Y,47.753087,-122.184894
PAST SALE,August-15-2018,Condo/Co-op,20330 Bothell Everett Hwy Unit C302,Bothell,WA,98012,265000,2,1.0,North Creek,860,,1986,164,308,357,Sold,,,http://www.redfin.com/WA/Bothell/20330-Bothell-Everett-Hwy-98012/unit-C302/home/2902750,NWMLS,1310108,N,Y,47.8134649,-122.2106829
PAST SALE,January-11-2019,Single Family Residential,23402 20th Ave SE,Bothell,WA,98021,594950,4,2.5,Canyon Park,2040,7841,1984,15,292,,Sold,,,http://www.redfin.com/WA/Bothell/23402-20th-Ave-SE-98021/home/2803641,NWMLS,1378831,N,Y,47.7857628,-122.2058913
PAST SALE,August-10-2018,Single Family Residential,19909 30th Dr SE,Bothell,WA,98012,554000,3,2.0,Thrashers Corner,1595,6534,1996,169,347,,Sold,,,http://www.redfin.com/WA/Bothell/19909-30th-Dr-SE-98012/home/2850071,NWMLS,1314988,N,Y,47.8170323,-122.1915893
PAST SALE,August-16-2018,Single Family Residential,19215 34th Dr SE,Bothell,WA,98012,452000,3,1.75,North Creek,1104,10890,1970,163,409,,Sold,,,http://www.redfin.com/WA/Bothell/19215-34th-Dr-SE-98012/home/2677822,NWMLS,1318982,N,Y,47.8229705,-122.1866148
PAST SALE,August-7-2018,Single Family Residential,12312 NE 205th St #40,Bothell,WA,98011,717600,3,2.5,Bothell,2370,6327,2006,172,303,37,Sold,,,http://www.redfin.com/WA/Bothell/12312-NE-205th-St-98011/unit-40/home/11884913,NWMLS,1311644,N,Y,47.7764282,-122.1766601
PAST SALE,July-31-2018,Single Family Residential,4316 186th St SE,Bothell,WA,98012,782995,4,2.25,North Creek,1876,2708,2017,179,417,85,Sold,,,http://www.redfin.com/WA/Bothell/4316-186th-St-SE-98012/home/112747691,NWMLS,1304115,N,Y,47.828779,-122.174487
PAST SALE,August-13-2018,Single Family Residential,1411 192nd Place SE #17,Bothell,WA,98012,664995,4,2.5,Bothell,2399,3700,2018,166,277,,Sold,,,http://www.redfin.com/WA/Bothell/1411-192nd-St-SE-98012/unit-17/home/146242856,NWMLS,1328928,N,Y,47.8239493,-122.215506
PAST SALE,August-20-2018,Single Family Residential,23603 43rd Dr SE #249,Bothell,WA,98021,879950,5,2.75,Canyon Park,2825,3600,2018,159,311,71,Sold,,,http://www.redfin.com/WA/Bothell/23603-43rd-Dr-SE-98021/unit-249/home/146123778,NWMLS,1320122,N,Y,47.788598,-122.174924
PAST SALE,August-21-2018,Single Family Residential,19204 13th Dr SE #4,Bothell,WA,98012,699995,4,2.5,Bothell,2653,3690,2018,158,264,125,Sold,,,http://www.redfin.com/WA/Bothell/19204-13th-Dr-SE-98012/unit-4/home/146077528,NWMLS,1314180,N,Y,47.820167,-122.2126883
PAST SALE,July-30-2018,Single Family Residential,23530 43rd Dr SE #221,Bothell,WA,98021,849950,5,2.75,Canyon Park,2825,3600,2018,180,301,71,Sold,,,http://www.redfin.com/WA/Bothell/23530-43rd-Dr-SE-98021/unit-221/home/144635961,NWMLS,1230911,N,Y,47.788691,-122.1749082
PAST SALE,August-10-2018,Mobile/Manufactured Home,19404 127th Ave NE,Bothell,WA,98011,310000,2,2.0,Holly Hills,1780,5253,1978,169,174,,Sold,,,http://www.redfin.com/WA/Bothell/19404-127th-Ave-NE-98011/home/53869483,NWMLS,1305362,N,Y,47.7687903,-122.171727
PAST SALE,December-14-2018,Single Family Residential,17416 30th Dr SE,Bothell,WA,98012,487500,3,2.5,Mill Creek,1588,10890,1979,43,307,,Sold,,,http://www.redfin.com/WA/Bothell/17416-30th-Dr-SE-98012/home/2787068,NWMLS,1374857,N,Y,47.8395608,-122.1920647
PAST SALE,October-31-2018,Single Family Residential,1131 203rd Place SE,Bothell,WA,98012,512000,3,2.25,Thrashers Corner,1672,10890,1970,87,306,,Sold,,,http://www.redfin.com/WA/Bothell/1131-203rd-Pl-SE-98012/home/2679679,NWMLS,1338468,N,Y,47.8138527,-122.2162596
PAST SALE,September-25-2018,Single Family Residential,4107 177th Place SE Unit PND 4,Bothell,WA,98012,749534,4,4.0,Bothell,2492,3854,2018,123,301,96,Sold,,,http://www.redfin.com/WA/Bothell/4107-177th-Pl-SE-98012/unit-PND-4/home/145543399,NWMLS,1283126,N,Y,47.8372545,-122.1865422
PAST SALE,December-19-2018,Single Family Residential,22009 33rd Dr SE #40,Bothell,WA,98021,1221894,3,2.5,Canyon Park,3777,9710,2018,38,324,90,Sold,,,http://www.redfin.com/WA/Bothell/22009-33rd-Dr-SE-98021/unit-40/home/144163462,NWMLS,1211500,N,Y,47.8055965,-122.1882958
PAST SALE,October-30-2018,Single Family Residential,20715 14th Dr SE,Bothell,WA,98012,440000,4,2.5,Thrashers Corner,1472,10454,1978,88,299,,Sold,,,http://www.redfin.com/WA/Bothell/20715-14th-Dr-SE-98012/home/2784863,NWMLS,1361650,N,Y,47.8098364,-122.2131812
PAST SALE,September-14-2018,Single Family Residential,24024 41st Ave SE,Bothell,WA,98021,627000,4,2.5,Bothell,2047,3571,2006,134,306,54,Sold,,,http://www.redfin.com/WA/Bothell/24024-41st-Ave-SE-98021/unit-16/home/12104858,NWMLS,1342942,N,Y,47.7791428,-122.1779858
PAST SALE,September-28-2018,Condo/Co-op,3908 243rd Place SE Unit Q304,Bothell,WA,98021,308000,3,0.5,Bothell,871,,1997,120,354,420,Sold,,,http://www.redfin.com/WA/Bothell/3908-243rd-Pl-SE-98021/unit-Q304/home/11884618,NWMLS,1353861,N,Y,47.7771979,-122.1774966
